	Sentence
38	When Neji sacrificed his life to protect Naruto and Hinata from the Ten-Tailed Beast, Obito taunts Naruto with his speech that if he keeps resisting, all of his friends will share the same fate as Neji, making Naruto nearly lost all hope and join Obito to stop further bloodshed, but Hinata prevented Naruto from joining Obito and encourages him to not give up and to not let Neji's death be in vain, which motivates Naruto to continue fighting and share his chakra with everyone.
39	With her Byakugan, she saw the Ten-Tails being absorbed into Obito, meaning he has become its jinchuriki, and informed Sakura and the Alliance about it.
40	During the Last, she decided to confess her feelings for Naruto by knitting a scarf for him, a replacement for the damaged one he gave her when they were children.
41	Later in the movie, she gave the finished scarf to Naruto with her goodbyes and leaves with Toneri.
42	While this seemed like she was marrying him, it turned out to be a plan to get closer to Hanabi, who has been kidnapped by him.
43	Later on, she tried to reason with Toneri that Hamura never wished to destroy earth, but he doesn't listen.
44	Then, Hinata attempts to destroy the Tenseigan Altar as per Hamura’s request only to be stopped by Toneri, after which he destroys the new scarf, that is actually meant for Naruto, and places her under his control.
45	"After being placed inside a picture frame, she shed a tear over her regret about ""betraying"" Naruto."
46	When Naruto released her from Toneri's control, at which point she apologized to him for her earlier behavior, though he states he already understands and forgives her.
47	In Boruto, she became a great mother, heck, she almost sacrificed herself to save Naruto when he was kidnapped by Momoshiki.
48	Her act of fainting when she sees Naruto can be repetitive to some people.
49	Her Road to Ninja Genjutsu world counterpart is just unbearable.
50	Although she did it do in order to save Hanabi, it was foolish of Hinata to leave with Toneri, breaking Naruto's heart in the process and tried unsuccessfully to reason with Toneri, who responds by destroying her scarf and brainwashing her.
51	Also, the scene where Toneri possesses Hinata can be heartbreaking to some people.
52	She shares a birthday (December 27) with Ochaco Uraraka from the popular anime/manga series My Hero Academia .
53	Coincidently, both characters has have a crush on the main protagonists ( Naruto / Deku ) of their respective series, and both aspire to be just like them.
